model,rmse,mae,nasa_score,mean_bias,n_valid,detection_lead_time,false_alarm_rate,detection_success
Threshold alarm,0.0,0.0,0.0,0.0,502,100,0.0,True
Static curve,93.17710078959199,90.13944223107569,9085588.155322384,90.13944223107569,502,100,0.0,True
Rolling refit,899.7552013246475,327.003984063745,1.229057036206545e+192,316.1354581673307,502,100,0.0,True
PID + regime,5370.75988341403,609.5219757499784,inf,585.4905455607338,500,91,0.0,True
PID adaptive,6127.870400539298,739.7004157686912,inf,720.0784285575846,500,84,0.0,True
