dataset,unit_id,model,prior_quality,equipment_type,is_run_to_failure,n_valid,rmse,mae,nasa_score,mean_bias,detection_lead_time,false_alarm_rate,detection_success
femto,femto_Bearing2_4,pid_regime,approximate_oem,ball_bearing,False,612,,,,,,,
femto,femto_Bearing2_5,threshold_alarm,approximate_oem,ball_bearing,False,2002,,,,,,,
femto,femto_Bearing2_5,static_curve,approximate_oem,ball_bearing,False,2002,,,,,,,
femto,femto_Bearing2_5,rolling_refit,approximate_oem,ball_bearing,False,2002,,,,,,,
femto,femto_Bearing2_5,pid_adaptive,approximate_oem,ball_bearing,False,2002,,,,,,,
femto,femto_Bearing2_5,pid_regime,approximate_oem,ball_bearing,False,2002,,,,,,,
femto,femto_Bearing2_6,threshold_alarm,approximate_oem,ball_bearing,False,572,,,,,,,
femto,femto_Bearing2_6,static_curve,approximate_oem,ball_bearing,False,572,,,,,,,
femto,femto_Bearing2_6,rolling_refit,approximate_oem,ball_bearing,False,572,,,,,,,
femto,femto_Bearing2_6,pid_adaptive,approximate_oem,ball_bearing,False,572,,,,,,,
femto,femto_Bearing2_6,pid_regime,approximate_oem,ball_bearing,False,572,,,,,,,
femto,femto_Bearing2_7,threshold_alarm,approximate_oem,ball_bearing,False,172,,,,,,,
femto,femto_Bearing2_7,static_curve,approximate_oem,ball_bearing,False,172,,,,,,,
femto,femto_Bearing2_7,rolling_refit,approximate_oem,ball_bearing,False,172,,,,,,,
femto,femto_Bearing2_7,pid_adaptive,approximate_oem,ball_bearing,False,172,,,,,,,
femto,femto_Bearing2_7,pid_regime,approximate_oem,ball_bearing,False,172,,,,,,,
femto,femto_Bearing3_3,threshold_alarm,approximate_oem,ball_bearing,False,352,,,,,,,
femto,femto_Bearing3_3,static_curve,approximate_oem,ball_bearing,False,352,,,,,,,
femto,femto_Bearing3_3,rolling_refit,approximate_oem,ball_bearing,False,352,,,,,,,
femto,femto_Bearing3_3,pid_adaptive,approximate_oem,ball_bearing,False,352,,,,,,,
femto,femto_Bearing3_3,pid_regime,approximate_oem,ball_bearing,False,352,,,,,,,
