prior_quality,mean_rmse,std_rmse,mean_mae,mean_detection_lead_time,n_trajectories
approximate_oem,773.0860264448174,518.5471605736008,669.6375,48.0,15
exact_oem,1444.885892530504,3131.91070870863,380.85649067803797,642.725,28
fleet_derived,3820.5133201700396,12745.397157572255,609.1671595028522,25.473684210526315,200
