dataset,unit_id,model,prior_quality,equipment_type,is_run_to_failure,n_valid,rmse,mae,nasa_score,mean_bias,detection_lead_time,false_alarm_rate,detection_success
xjtu_sy,xjtu_sy_Bearing2_2,rolling_refit,exact_oem,ball_bearing,True,80,522.2609962408111,274.7166666666667,20027766.557412818,274.7166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing2_2,pid_adaptive,exact_oem,ball_bearing,True,80,410.58564830914963,139.12843555026228,16602063.663353221,139.0595550135323,63,0.05,True
xjtu_sy,xjtu_sy_Bearing2_2,pid_regime,exact_oem,ball_bearing,True,80,454.08587355896765,154.37352610573305,11941806.181201212,154.2719773467813,47,0.0,True
xjtu_sy,xjtu_sy_Bearing2_3,threshold_alarm,exact_oem,ball_bearing,True,80,,,,,79,1.0,True
xjtu_sy,xjtu_sy_Bearing2_3,static_curve,exact_oem,ball_bearing,True,80,45.8582765460912,39.84166666666667,27812.30063536883,39.84166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing2_3,rolling_refit,exact_oem,ball_bearing,True,80,496.74768942033785,284.0916666666667,20027766.557412818,284.0916666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing2_3,pid_adaptive,exact_oem,ball_bearing,True,80,188.20344756060234,77.88512957923791,7244121.612037327,77.78641163051996,44,0.0,True
xjtu_sy,xjtu_sy_Bearing2_3,pid_regime,exact_oem,ball_bearing,True,80,729.1614941169065,198.6408974716991,9987614.94170378,198.5382308050325,47,0.0,True
xjtu_sy,xjtu_sy_Bearing2_4,threshold_alarm,exact_oem,ball_bearing,True,42,,,,,41,1.0,True
xjtu_sy,xjtu_sy_Bearing2_4,static_curve,exact_oem,ball_bearing,True,42,24.28446672410317,21.158333333333335,612.3282073412136,21.158333333333335,41,1.0,True
xjtu_sy,xjtu_sy_Bearing2_4,pid_adaptive,exact_oem,ball_bearing,True,42,789.0796922684294,173.28304594758862,7009647.968342829,173.2280459475886,39,0.4,True
xjtu_sy,xjtu_sy_Bearing2_4,pid_regime,exact_oem,ball_bearing,True,42,876.5827207504278,226.08668368001977,6004503.494130785,226.02722422056036,35,0.2,True
xjtu_sy,xjtu_sy_Bearing2_5,threshold_alarm,exact_oem,ball_bearing,True,80,,,,,79,1.0,True
xjtu_sy,xjtu_sy_Bearing2_5,static_curve,exact_oem,ball_bearing,True,80,45.8582765460912,39.84166666666667,27812.30063536883,39.84166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing2_5,rolling_refit,exact_oem,ball_bearing,True,80,753.8834087760373,355.9666666666667,20027766.557412818,355.9666666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing2_5,pid_adaptive,exact_oem,ball_bearing,True,80,2494.9119222193085,407.15064897297606,10197196.322456846,407.0852643575915,48,0.0,True
xjtu_sy,xjtu_sy_Bearing2_5,pid_regime,exact_oem,ball_bearing,True,80,1307.2260491040613,289.1872723163301,14875919.861324998,289.09647695417794,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_1,threshold_alarm,exact_oem,ball_bearing,True,80,,,,,79,1.0,True
xjtu_sy,xjtu_sy_Bearing3_1,static_curve,exact_oem,ball_bearing,True,80,45.8582765460912,39.84166666666667,27812.30063536883,39.84166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_1,rolling_refit,exact_oem,ball_bearing,True,80,490.16821758226814,274.7166666666667,20027766.557412818,274.7166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_1,pid_adaptive,exact_oem,ball_bearing,True,80,152.1744649243659,58.432888424266714,4140193.666653765,58.33417047554876,77,0.05,True
xjtu_sy,xjtu_sy_Bearing3_1,pid_regime,exact_oem,ball_bearing,True,80,751.9352584082009,182.43777813855792,8106537.09117931,182.33511147189128,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_2,threshold_alarm,exact_oem,ball_bearing,True,80,,,,,79,1.0,True
xjtu_sy,xjtu_sy_Bearing3_2,static_curve,exact_oem,ball_bearing,True,80,45.8582765460912,39.84166666666667,27812.30063536883,39.84166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_2,rolling_refit,exact_oem,ball_bearing,True,80,521.8163253110342,293.4666666666667,20027766.557412818,293.4666666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_2,pid_adaptive,exact_oem,ball_bearing,True,80,187.6024067880649,76.2609980746775,8920579.571350861,76.16836219660723,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_2,pid_regime,exact_oem,ball_bearing,True,80,942.8968107136116,274.5563818984671,16156744.59938439,274.4537152318005,44,0.0,True
xjtu_sy,xjtu_sy_Bearing3_3,threshold_alarm,exact_oem,ball_bearing,True,80,,,,,79,1.0,True
xjtu_sy,xjtu_sy_Bearing3_3,static_curve,exact_oem,ball_bearing,True,80,45.8582765460912,39.84166666666667,27812.30063536883,39.84166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_3,rolling_refit,exact_oem,ball_bearing,True,80,476.4288665279541,262.2166666666667,20027766.557412818,262.2166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_3,pid_adaptive,exact_oem,ball_bearing,True,80,13988.01673313854,2300.1214741144427,7143931.67050102,2300.037376451151,69,0.05,True
xjtu_sy,xjtu_sy_Bearing3_3,pid_regime,exact_oem,ball_bearing,True,80,115.29986435320511,59.296046233535826,6807344.166050199,59.193379566869154,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_4,threshold_alarm,exact_oem,ball_bearing,True,80,,,,,79,1.0,True
xjtu_sy,xjtu_sy_Bearing3_4,static_curve,exact_oem,ball_bearing,True,80,45.8582765460912,39.84166666666667,27812.30063536883,39.84166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_4,rolling_refit,exact_oem,ball_bearing,True,80,393.856845644596,212.2166666666667,20027766.557412818,212.2166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_4,pid_adaptive,exact_oem,ball_bearing,True,80,73.35740933883697,44.846802665797654,5578745.67827894,44.738683007677984,52,0.0,True
xjtu_sy,xjtu_sy_Bearing3_4,pid_regime,exact_oem,ball_bearing,True,80,202.0946316171884,81.36104718550932,8012910.9105767645,81.24860274106487,51,0.0,True
xjtu_sy,xjtu_sy_Bearing3_5,threshold_alarm,exact_oem,ball_bearing,True,80,,,,,79,1.0,True
xjtu_sy,xjtu_sy_Bearing3_5,static_curve,exact_oem,ball_bearing,True,80,45.8582765460912,39.84166666666667,27812.30063536883,39.84166666666667,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_5,rolling_refit,exact_oem,ball_bearing,True,80,606.2879595218028,299.71666666666664,20027766.557412818,299.71666666666664,48,0.0,True
xjtu_sy,xjtu_sy_Bearing3_5,pid_adaptive,exact_oem,ball_bearing,True,80,56.34895390110514,37.17831542546905,1022486.0093545123,37.10389286119595,77,0.15,True
xjtu_sy,xjtu_sy_Bearing3_5,pid_regime,exact_oem,ball_bearing,True,80,51.198560674411944,35.979117400389654,1022331.641027808,35.87511740038965,48,0.0,True
